GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),58285851,(D),(D)
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",133111,144841,156119,174160,190601,225274,228049,204830,183210,222959,(D),145888,128188,149319,188986,167943,(D),(D)
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",10,    Utilities,(D),(D),(D),4962671,(D),5621008,5847811,(D),6936977,7035807,7051483,6839128,(D),(D),(D),(D),(D),(D)
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",11,    Construction,10037604,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16439009,17009051
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",12,    Manufacturing,29872949,29529083,32480960,33249202,32942292,(D),(D),36192216,(D),(D),(D),(D),(D),(D),(D),(D),37280580,40857506
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),4934990,5373547,5990045,6544272,6852083,(D),7300466,7002917,7927260,8072711,8547170,8588020,9147397,9930207,10128284,9899214,10488245
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),(D),(D),(D),(D),599236,(D),700372,(D),(D),(D),644035,(D),640735,(D),(D),(D)
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),10952716,(D),12473091,(D),(D),13939893,14963067,15124194,15386298,(D),(D),(D),(D),(D),(D)
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",364352,361561,408752,595723,1026831,1520229,1718954,1828447,1612131,1991407,2430191,2281516,1765242,1742286,1294021,1118438,1604246,1611366
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",10,    Utilities,1791052,1784314,1855252,2125948,2283880,2678976,3052374,3161559,3436318,3423392,3429187,3586883,3558172,3577375,3911985,4308690,4370493,4525729
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",11,    Construction,8517706,8591745,9203211,11078453,14650089,17670239,17963657,14069988,8842012,7330304,6976403,7176939,8105375,8321718,9207432,10286742,11735782,13139665
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",12,    Manufacturing,16799372,17762761,20326575,16971615,15814121,17576681,18460766,17905253,15863496,16678676,17821182,18643968,16766148,18278650,19856125,19875868,19982100,21415824
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",36,    Transportation and warehousing,3335518,3565550,3816498,4442499,4964731,5575075,5580173,5457561,5279016,5699214,5637018,6073038,5975231,6523778,7105840,7546421,7914072,9009902
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",87,Natural resources and mining,874735,802734,1086040,1512035,1776141,2181147,2399053,2406447,1878224,2196187,3153223,2972906,2514956,2694978,1942108,1735231,1952979,1728782
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",89,Transportation and utilities,5126569,5349864,5671750,6568447,7248612,8254051,8632547,8619119,8715333,9122605,9066205,9659922,9533402,10101153,11017825,11855111,12284565,13535631
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",292669,299914,330881,368086,625758,410992,409609,354809,317308,316534,308318,287049,228467,224397,234143,237991,280982,306067
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",10,    Utilities,1346000,1281988,(D),1421810,1441592,1606267,1666063,1726637,(D),(D),2221953,2148828,(D),2701733,2658103,(D),2668643,2726351
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",11,    Construction,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",12,    Manufacturing,(D),(D),(D),(D),(D),(D),(D),18631075,(D),(D),(D),22703231,22010926,22885746,21364122,18379547,18738635,(D)
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4462238,4707841,5024719,5015499,5170808,5739184
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",87,Natural resources and mining,507834,543649,717108,909666,898622,750477,718493,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),926474
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7409574,7682822,(D),7839451,8465535
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",93707,74187,90031,93730,139579,202334,221593,159307,173297,175766,151400,117523,121169,123278,119250,123752,140003,185874
