Geography,Date,Type,Percent Change from Baseline,ID Geography
Washington,6/24/20,Parks,118,04000US53
Washington,6/25/20,Parks,134,04000US53
Washington,6/26/20,Parks,131,04000US53
Washington,6/27/20,Parks,69,04000US53
Washington,6/28/20,Parks,74,04000US53
Washington,6/29/20,Parks,90,04000US53
Washington,6/30/20,Parks,74,04000US53
Washington,7/1/20,Parks,72,04000US53
Washington,7/2/20,Parks,97,04000US53
Washington,7/3/20,Parks,145,04000US53
Washington,7/4/20,Parks,148,04000US53
Washington,7/5/20,Parks,110,04000US53
Washington,7/6/20,Parks,97,04000US53
Washington,7/7/20,Parks,85,04000US53
Washington,7/8/20,Parks,124,04000US53
Washington,7/9/20,Parks,87,04000US53
Washington,7/10/20,Parks,137,04000US53
Washington,7/11/20,Parks,114,04000US53
Washington,7/12/20,Parks,89,04000US53
Washington,7/13/20,Parks,115,04000US53
Washington,7/14/20,Parks,156,04000US53
Washington,7/15/20,Parks,166,04000US53
Washington,7/16/20,Parks,114,04000US53
Washington,7/17/20,Parks,108,04000US53
Washington,7/18/20,Parks,171,04000US53
Washington,7/19/20,Parks,138,04000US53
Washington,7/20/20,Parks,129,04000US53
Washington,7/21/20,Parks,154,04000US53
Washington,7/22/20,Parks,115,04000US53
Washington,7/23/20,Parks,101,04000US53
Washington,7/24/20,Parks,113,04000US53
Washington,7/25/20,Parks,164,04000US53
Washington,7/26/20,Parks,143,04000US53
Washington,7/27/20,Parks,131,04000US53
Washington,7/28/20,Parks,139,04000US53
Washington,7/29/20,Parks,147,04000US53
Washington,7/30/20,Parks,131,04000US53
Washington,7/31/20,Parks,132,04000US53
Washington,8/1/20,Parks,141,04000US53
Washington,8/2/20,Parks,121,04000US53
Washington,8/3/20,Parks,101,04000US53
Washington,8/4/20,Parks,147,04000US53
Washington,8/5/20,Parks,147,04000US53
Washington,8/6/20,Parks,70,04000US53
Washington,8/7/20,Parks,123,04000US53
Washington,2/15/20,Transit Stations,8,04000US53
Washington,2/16/20,Transit Stations,5,04000US53
Washington,2/17/20,Transit Stations,-7,04000US53
Washington,2/18/20,Transit Stations,7,04000US53
Washington,2/19/20,Transit Stations,7,04000US53
Washington,2/20/20,Transit Stations,5,04000US53
Washington,2/21/20,Transit Stations,4,04000US53
Washington,2/22/20,Transit Stations,9,04000US53
Washington,2/23/20,Transit Stations,3,04000US53
Washington,2/24/20,Transit Stations,3,04000US53
Washington,2/25/20,Transit Stations,5,04000US53
Washington,2/26/20,Transit Stations,7,04000US53
Washington,2/27/20,Transit Stations,9,04000US53
Washington,2/28/20,Transit Stations,6,04000US53
Washington,2/29/20,Transit Stations,5,04000US53
Washington,3/1/20,Transit Stations,9,04000US53
Washington,3/2/20,Transit Stations,-3,04000US53
Washington,3/3/20,Transit Stations,-2,04000US53
Washington,3/4/20,Transit Stations,-2,04000US53
Washington,3/5/20,Transit Stations,-8,04000US53
Washington,3/6/20,Transit Stations,-12,04000US53
Washington,3/7/20,Transit Stations,-6,04000US53
Washington,3/8/20,Transit Stations,-5,04000US53
Washington,3/9/20,Transit Stations,-15,04000US53
Washington,3/10/20,Transit Stations,-15,04000US53
Washington,3/11/20,Transit Stations,-16,04000US53
Washington,3/12/20,Transit Stations,-20,04000US53
Washington,3/13/20,Transit Stations,-28,04000US53
Washington,3/14/20,Transit Stations,-22,04000US53
Washington,3/15/20,Transit Stations,-22,04000US53
Washington,3/16/20,Transit Stations,-31,04000US53
Washington,3/17/20,Transit Stations,-33,04000US53
Washington,3/18/20,Transit Stations,-36,04000US53
Washington,3/19/20,Transit Stations,-41,04000US53
Washington,3/20/20,Transit Stations,-42,04000US53
Washington,3/21/20,Transit Stations,-37,04000US53
Washington,3/22/20,Transit Stations,-44,04000US53
Washington,3/23/20,Transit Stations,-50,04000US53
Washington,3/24/20,Transit Stations,-52,04000US53
Washington,3/25/20,Transit Stations,-54,04000US53
Washington,3/26/20,Transit Stations,-59,04000US53
Washington,3/27/20,Transit Stations,-61,04000US53
Washington,3/28/20,Transit Stations,-56,04000US53
Washington,3/29/20,Transit Stations,-56,04000US53
Washington,3/30/20,Transit Stations,-60,04000US53
Washington,3/31/20,Transit Stations,-58,04000US53
Washington,4/1/20,Transit Stations,-56,04000US53
Washington,4/2/20,Transit Stations,-59,04000US53
Washington,4/3/20,Transit Stations,-60,04000US53
Washington,4/4/20,Transit Stations,-53,04000US53
Washington,4/5/20,Transit Stations,-56,04000US53
Washington,4/6/20,Transit Stations,-57,04000US53
Washington,4/7/20,Transit Stations,-56,04000US53
Washington,4/8/20,Transit Stations,-55,04000US53
Washington,4/9/20,Transit Stations,-56,04000US53
Washington,4/10/20,Transit Stations,-56,04000US53
Washington,4/11/20,Transit Stations,-50,04000US53
Washington,4/12/20,Transit Stations,-51,04000US53
Washington,4/13/20,Transit Stations,-56,04000US53
Washington,4/14/20,Transit Stations,-54,04000US53
Washington,4/15/20,Transit Stations,-52,04000US53
Washington,4/16/20,Transit Stations,-53,04000US53
Washington,4/17/20,Transit Stations,-54,04000US53
Washington,4/18/20,Transit Stations,-48,04000US53
Washington,4/19/20,Transit Stations,-47,04000US53
Washington,4/20/20,Transit Stations,-53,04000US53
Washington,4/21/20,Transit Stations,-54,04000US53
Washington,4/22/20,Transit Stations,-57,04000US53
Washington,4/23/20,Transit Stations,-56,04000US53
