Geography,Date,Type,Percent Change from Baseline,ID Geography
Minnesota,3/15/20,Transit Stations,-15,04000US27
Minnesota,3/16/20,Transit Stations,-27,04000US27
Minnesota,3/17/20,Transit Stations,-26,04000US27
Minnesota,3/18/20,Transit Stations,-35,04000US27
Minnesota,3/19/20,Transit Stations,-45,04000US27
Minnesota,3/20/20,Transit Stations,-43,04000US27
Minnesota,3/21/20,Transit Stations,-43,04000US27
Minnesota,3/22/20,Transit Stations,-50,04000US27
Minnesota,3/23/20,Transit Stations,-52,04000US27
Minnesota,3/24/20,Transit Stations,-50,04000US27
Minnesota,3/25/20,Transit Stations,-53,04000US27
Minnesota,3/26/20,Transit Stations,-52,04000US27
Minnesota,3/27/20,Transit Stations,-51,04000US27
Minnesota,3/28/20,Transit Stations,-64,04000US27
Minnesota,3/29/20,Transit Stations,-64,04000US27
Minnesota,3/30/20,Transit Stations,-56,04000US27
Minnesota,3/31/20,Transit Stations,-52,04000US27
Minnesota,4/1/20,Transit Stations,-54,04000US27
Minnesota,4/2/20,Transit Stations,-58,04000US27
Minnesota,4/3/20,Transit Stations,-61,04000US27
Minnesota,4/4/20,Transit Stations,-55,04000US27
Minnesota,4/5/20,Transit Stations,-58,04000US27
Minnesota,4/6/20,Transit Stations,-58,04000US27
Minnesota,4/7/20,Transit Stations,-54,04000US27
Minnesota,4/8/20,Transit Stations,-57,04000US27
Minnesota,4/9/20,Transit Stations,-60,04000US27
Minnesota,4/10/20,Transit Stations,-57,04000US27
Minnesota,4/11/20,Transit Stations,-51,04000US27
Minnesota,4/12/20,Transit Stations,-71,04000US27
Minnesota,4/13/20,Transit Stations,-60,04000US27
Minnesota,4/14/20,Transit Stations,-58,04000US27
Minnesota,4/15/20,Transit Stations,-55,04000US27
Minnesota,4/16/20,Transit Stations,-56,04000US27
Minnesota,4/17/20,Transit Stations,-53,04000US27
Minnesota,4/18/20,Transit Stations,-48,04000US27
Minnesota,4/19/20,Transit Stations,-55,04000US27
Minnesota,4/20/20,Transit Stations,-57,04000US27
Minnesota,4/21/20,Transit Stations,-53,04000US27
Minnesota,4/22/20,Transit Stations,-49,04000US27
Minnesota,4/23/20,Transit Stations,-53,04000US27
Minnesota,4/24/20,Transit Stations,-52,04000US27
Minnesota,4/25/20,Transit Stations,-45,04000US27
Minnesota,4/26/20,Transit Stations,-52,04000US27
Minnesota,4/27/20,Transit Stations,-50,04000US27
Minnesota,4/28/20,Transit Stations,-56,04000US27
Minnesota,4/29/20,Transit Stations,-49,04000US27
Minnesota,4/30/20,Transit Stations,-47,04000US27
Minnesota,5/1/20,Transit Stations,-46,04000US27
Minnesota,5/2/20,Transit Stations,-39,04000US27
Minnesota,5/3/20,Transit Stations,-45,04000US27
Minnesota,5/4/20,Transit Stations,-49,04000US27
Minnesota,5/5/20,Transit Stations,-47,04000US27
Minnesota,5/6/20,Transit Stations,-45,04000US27
Minnesota,5/7/20,Transit Stations,-48,04000US27
Minnesota,5/8/20,Transit Stations,-47,04000US27
Minnesota,5/9/20,Transit Stations,-46,04000US27
Minnesota,5/10/20,Transit Stations,-51,04000US27
Minnesota,5/11/20,Transit Stations,-49,04000US27
Minnesota,5/12/20,Transit Stations,-46,04000US27
Minnesota,5/13/20,Transit Stations,-50,04000US27
Minnesota,5/14/20,Transit Stations,-48,04000US27
Minnesota,5/15/20,Transit Stations,-46,04000US27
Minnesota,5/16/20,Transit Stations,-49,04000US27
Minnesota,5/17/20,Transit Stations,-58,04000US27
Minnesota,5/18/20,Transit Stations,-50,04000US27
Minnesota,5/19/20,Transit Stations,-46,04000US27
Minnesota,5/20/20,Transit Stations,-43,04000US27
Minnesota,5/21/20,Transit Stations,-46,04000US27
Minnesota,5/22/20,Transit Stations,-45,04000US27
Minnesota,5/23/20,Transit Stations,-43,04000US27
Minnesota,5/24/20,Transit Stations,-47,04000US27
Minnesota,5/25/20,Transit Stations,-56,04000US27
Minnesota,5/26/20,Transit Stations,-46,04000US27
Minnesota,5/27/20,Transit Stations,-43,04000US27
Minnesota,5/28/20,Transit Stations,-40,04000US27
Minnesota,5/29/20,Transit Stations,-47,04000US27
Minnesota,5/30/20,Transit Stations,-39,04000US27
